sentiment,text,prediction
1,coroners officer forcing us to arrange funeral now when transport of body to another country is not possible due to otherwise threatening they will destroy my grandmothers body,3
1,how can u be afraid of the corona virus but not an std im curious,1
3,smriti irani missing posters come up in amethi in last  yr she visited amethi only for a few hours has done nothing for the people during  crisis and instead referred to workers coming back to amethi from different states as coronavirus ,3
1,does this data account for unprecedented precautionary measures that have only just started being put place  increased testing feds  states coronavirus is not something to be taken lightly but fearmongering is not helpful these numbers reflect worst case scenarios,0
2,in gwalior volunteers was sanitising a muslim locality to prevent it from corona virus later people of the muslim community welcomed their gesture and thanked them by applying tilak on their foreheads but for rss is anti muslimpic twitter ,3
1,how the coronavirus pandemic threatens us national security,0
0,woman  found dead by boyfriend while waiting for coronavirus test results stop saying flu like illness you make me want to swear its not like the fking flu wake up stop spreading fake statements seriously get a life,0
1,the who is the biggest fake organization to them the us is bad bad bad they want everything to be global control the who is pretty much spreading unfounded fear about,0
3,i m indian national n right now stuck in dhaka pls note here i hv lost my job due to covid n living from last  months without earning i want to go bk to delhi immediately on special air india flight i hv already registered on hci,3
3,bangkok post headlines on thursday diamondsuit relief cash only covers a month diamondsuit govt mulls easing curfew as cases drop diamondsuit inbound flight ban extended โควิ,3
3,people who wish to visit salons after three months of lockdowns here are guidelines for you all to follow a no person having any symptom of covid  like high temperature fever cough cold throat pain difficulty in breathing shall visit these facilities,3
0,honestly is overblown but it did one thing correctly it showed how disgusting humanity is what an embarrassment we are,0
3,lock down is causing the shortage of blood for patient i would suggest govt to mobilize the medical staff so they can go to donors for blood of course precautions are must before they go to any donors,3
2,i appreciate to sonu sir he is doing a good job i want to meet you sir whenever i get a chance thanks,2
2,im also grateful for my family being blessed with good health in all this health related chaos going around  foldedhandslightskintone,2
2,fresh fruit and veggies in the time of corona delivers thank you for your reliability and consistent supply much appreciate your resilience pic twitter ,2
3,learn to appreciate what you have before time makes you appreciate what you had i miss my work business dream sadbutrelievedface frowningface  …,3
3,jnu sanitation workers have not been paid for  months lockdown and covid  crisis has made their lives difficult …,3
2,trump looks to reopen economy after nyt coronavirus bombshell a close via ty,1
1,germanys low coronavirus mortality rate intrigues experts,3
0,yall should watch al jazeera bbc and cnn for corona update shit is mad out there,0
2,corona warriors great help …,2
3,brahmanandavedicgurukultapobhoomigoabatu spreading message through his art not to bring virus in family by going out of home  violating rules laid down by govt durgeshartgoa ,3
3,honourable pm modi ji i recently opened two branches for iit medical students who belong to a very poor family im not going to take any pending amounts from them because of lockdown you r idle for me sir take care  – at techweb centre,3
1,a nation where over two crores people eat gutka knowing that it will kill you with cancer sooner or later corona they could not see so they are not threatened mullahs  allamas have done grand job taking the scare out of people but they forget history of spain with simmilar virus,3
0,show this to muslim hate mongers muslims are in forefront in fighting corona pandemic madrassas  mosques are given for corona centres,3
0, studyabroadstudents raise your hand if you feel personally victimized by coronavirus bc i feel extremely personally victimized,0
0,scomo has early dementia  encouraging a policy of “social distancing” amongst children where they stay   metres apart from each other at school  shut us down  aussies rage at pms coronavirus update   … via,1
3,so u want the corona to kill what is left in case ur not seeing the news europe countries r stealing medical supplies shipments from each other facewithrollingeyes,0
0,this is urgent tell to stop forcing their drivers to work sick,0
2,around  patients world over recovered from covid  and around  patients recovered in india let us focus on positivity,2
1,a trauma informed approach to teaching through coronavirus,2
2,god bless you and your kids we will pray for you fight fight we have to finish coronavirus at any cost which is finishing us save each life is important for you,2
2,・・ in line with an easing of some covid  restrictions by the authorities we are pleased to say that we are ready to welcome you back to the club and we are set to open a number of our… …,2
0,i hate china after corona virus,0
1,dt lied yet again we have a problem that a month ago nobody ever thought about  many reporters  others like warned them all of the dangers of the outbreak of op ed written  months ago via,1
2,kids these days are much better informed than many adults heres my niece doing her thing in lockdown time  pic twitter ,2
3,dear the world economy will not return to normal until your country realizes this epidemic is deadly please lockdown to stop the spread we want our lives back,1
1,if we did not name the corona virus people would just think it is just a bad flu season,1
1,im an nhs doctor treating coronavirus – you have no idea how bad things could get,0
3,ds figures are for real and they speak the truth on behalf of the stupidity of intellectuals doctors paramedic are giving away their lives but some do not understand the pain they want to spread this pandemic and be called a child of god shame pic twitter ,3
2,respected cm sir as the corona graph is inclining kindly consider  lockdown except healthcare on       april to create a small vaccum in corona spread in tn as people are uncooperative without realising the seriousness of next impact,3
3,recovery rate   death rate   death   ,3
0,fda chief warns of supply pressure on reagents for coronavirus tests  medtech dive,0
2,lavanders towns lakes we and supernova of love again beach seaside breezes we and waves of livelihood again clouds sunsets chaos we and poems of partners again smiles sorrow hills silhouette we and verses of life again copyright ritbik,2
2,came across this wonderful piece of writing lucidly described beautifully compared ,2
0,oh hell no “could be included in the senates coronavirus rescue bills significantly boost the number of visas offered annually from   to   while halving the investment required to earn legal residence from   to  ” we will vote you out,0
0,corona virus is the new  a false flag excuse to chop away at our freedoms pic twitter ,0
3,has the lockdown already failed the migrant labourer and now markaz …,3
1,what if bernie released coronavirus to scare bidens supporters from going out and voting old people are voting for biden old people can die easier from coronavirus bernies supporters are stupid young kids will not die to corona,0
1,you should maybe get tested for coronavirus with that cough…,1
1, days from now i am planning to be on the  day of my planned driving trip to the ⁦⁩ driving from roseburg oregon to stockton california at this point no reason to cancel trip due to coronavirus concerns but definitely monitoring the situation pic twitter ,1
3,quite worrisome india reports  deaths and  new cases of corona virus in last  hrs in total  cases  deaths  recovered ,3
2,koharanahai stayhome luckdown fightcorona watchshare commentus motivation  opinion somnathgope pic twitter ,2
3,hypocricy reloaded modi saying sorry to poor for taking strict action amidst corona crisis our champ mamidala blocked their salaries for three months,3
0,the dems are saying president trumps handling of the coronavirus is incompetent and too little after it passes without great harm he will be accused of over reacting like everything else the dems accuse him of this too will backfire as the economy bounces back,0
1,waiting in line for groceries at heb wa dozen others behind and in front of me and im the only one wearing a is real,0
0,if you strongly disagree just sign the below petition,0
3,sir please draw your attention towards the bad condition of dayal sar road and pending work of sewage and water pipe line which is on hold since long due to lockdown,3
0,you guys need to stop regurgitating the same dumb cnn talking point cnn did not invent that the dow jones had the largest point drop in history today cnn did not invent the lack of testing or your dear leader lying on  that the coronavirus was going to go to zero in days,0
3,indian profs lawyers social workers issue statement against communalisation of covid  the signatories say that there were many other gatherings around that time but the tablighi jamaat event is getting communalized to further islamophobia,3
0,if we can close down or postpone everything in the states if the stores can be drained of everyday items why cannot and take care of the fricking homeless situation in ca by quitting the screwing of the californians there is more than coronavirus,0
1,government needs to revamp administration  focus of nii niv and others to prioritise research for covid type of diseases india needs to prepare for it on war footing to ward of new threat type,3
0,think tank complains “coronavirus is killing globalization as we know it”,0
3,leave everything from bottom of ur heart say if situation then was so emergent that  notice lockdown was essential was it not priority of captainpm  consult state cms doers give some time  ppl  digest  then implement lockdown more efficiently instead of what was done,3
3,india has lost another gem today the biggest and finest music composer of bollywood sir has passed away due to covid  may allah swt rest soul in peace aameen twitter ,2
1,lmao italy is on lockdown trump is right about not worrying about the coronavirus idk bro i guess we are just going to get cured for free but please flex on us the fact that you spend money to get in an ambulance,1
1,“coronavirus forecasts are grim ‘its going to get worse” ⁦⁩,1
1,and the ‘ effect increased exposure to poses health biosafety and global security risks,1
2,amazing descriptive sketch  …,2
3,still obsessed are corona is there beware,2
2,what a project in corona time this will detect your mask properly and monitor you you can not cheat with camera,3
1,high risk the scope of shelby county residents who could need severe coronavirus care  risk the scope of shelby county residents who could need severe coronavirus care …,1
3,hello im in because from lockdown so plz help me im hyderabad plz pensiveface pensiveface cryingface cryingface foldedhands foldedhands,3
2,noida today ,2
1,and to think that in february my biggest concern about march was running out of plastic bags,1
1,indonesian capital closes schools for two weeks due to coronavirus concerns,0
0,instead of naming the virus correctly coronavirus trump purposely does what he does with everything he dislikes not putting aside how serious this is it is still politics to him that is why americas allies under trump are hard to come by,0
1,abuses for  communication twitter ,1
3,lesson cost of living is never expensive it is the cost of lifestyle that is expensive,3
3,now international community talks about new world order and globalization when every country suffer this danger pandameic i mean what is going on while priority should be how can defeat  and how can tackle the going on circumstances,3
0,student loan debt has nothing to do with the coronavirus this lady needs to shut up,0
0,ben shapiro slams media for suggesting trump avoided this coronavirus question youre out of your mind are you kidding me has the msm completely lost their damn minds good grief,0
0,i was fine when my work shut down i was fine just hanging around but the coronavirus has gone too far now that my apartment pool is closed,1
0,hearing original joes restaurant in north beach just closed indefinitely and blasted rems “its the end of the world as we know it” as they shut the doors not sure whether to laugh or cry thanks for the tidbit,0
2,great idea be care full pravate people chances of spread of corona infection in between gvmc wards red highly sensitive wards  areas,2
1,did you get your check yet why attacks on trumpsslow response to the virus are flooding my feed obamas former cdc director admitted sexual offender thomas frieden has condemned the us response to corona some people just do not know when to shut up,0
0,here is a flight from xiamen to vancouver arriving within the next hour does and the really think that canadians are stupid to not find out pic twitter ,0
2,them saints by the greatest virtue grain donation has been considered so this is the corona of the epidemic in the crisis period sant rampal ji maharaj with the blessings of place place the food on the sharing arrangement is being,2
0,girls be out here like if we do not use a condom will i get coronavirus no bitch but ill give you gonorrhoea,0
2,good i learn this method in lockdown period thanks mem,2
2,mr vivek joshi young artsit of school of paintings sent message to the people of and the on the corona virus through there marvellous art work in phad painting artist shanti lal joshi   …,2
3,are you guys ordering clothes for eid im so confused where and for whom would i wear them brokenheart,0
1,i just hope this virus gets under control before tick season starts or else we will be dealing with corona with lyme,1
2,ji line corona variants ppe kit workers you so much guruvar foldedhands foldedhands rose rose bouquet bouquet,2
2,having more money does not make you rich for this ladies redheart,2
1,“ of californians are expected to be infected with coronavirus” oh i think the fuck not im moving to antarctica it is official,1
3,why all financial capital towns are worst affected with like neither nor is affected in same ratio when compared to other financial capital towns of world,3
0,i will remember this fucking year till my last breathe angryfacewithhorns ,2
0,mtmar daily sports minute with discussing all the sports and leagues shutdown by the coronavirus the show will be on hiatus until the games resume,0
0,odds to die from coronavirus you  who wants this action,0
0,have not had my lips done in nearly a year and got an appointment three months ago which is now cancelled due to this coronavirus i guess ill die ugly then,0
0,what if the government is using the coronavirus as a distraction what if something bigger is happening and we do not know because all we see on tv and on social media is the stupid virus,0
2,sunset view  – at vastral metro station,2
1,secondly there was a gentleman on cnn who has the coronavirus who stated he believes he contracted the virus from his church choir he stated their was other members of the choir who was sick as well,1
1,bidens campaign uses obamas ebola czar as hired gun to attack president trumps coronavirus response as joe hides at home video via,0
2,great content smilingfacewithsmilingeyes clappinghands marketing week explores how coronavirus is changing the way marketers work,2
3,everyone criticize you when you fail in engineering but they do not know the reason behind it before you choose engineering as your career you should know what to choose and why what you think twitter ,0
0,the man who was responsible for the outbreak pence of the aides virus is in charge of the coronavirus let that sink in,0
0,everything is shut down — now what nagar,0
2,this billboard is worth sharing thanks to the muslim canadians for this amazing wisdom awareness pic twitter ,2
1,ps and those death rates are trending wrong incoming stats are incredibly worrying italy case fatality rate growth in  weeks  feb    feb    mar    mar    mar smiley   mar    mar ,3
3,okay i will make myself safely at home during corona break out,2
1,sixth annual ride for ronnie motorcycle ride and concert postponed due to coronavirus concerns,1
3,amidst lockdown and police brutality the workers are coming only to ensure the safety of students risking their lives but jnu vc has ignored them since the past  months by not paying them,3
0,a website thats basically reddit which we use to rank the relative cringiness of celebrities during coronavirus by the time all is said and done who do you think will have been the most insufferable,0
3,several eminent personalities have come up to extend financial aid to the government by contributing to pm cares fund on pm modis appeal to battle covid  via namo app,3
3,i guess average office opens at  morning and from  to  monday to friday morning is very much good time to get things from market thats why cmc ask  onwards u can open business etc but sadly we do not have unity towards our government to fight for covid,3
0,you konw maybe it is just best to just not see the twitter timeline cause there is so many unfunny coronavirus related jokes it is like watching dane cook tweeting all day,0
0,donny dirtbags accomplishments so far removed protections that benefited people who are not rich endangered the lives of americans  is still lying about the coronavirus numbers  the chaos he is a liar he is corruption he only cares about his own putrid self pic twitter ,0
2,please watch of for my new song “bahar mat nikal” on youtube it is a light minded rap song based on the current pandemic  aka corona virus if you like the song please like comment  share it also…,2
1,this coronavirus noise reminds me why i need to live somewhere else where i can take my health seriously,0
2,maharashtra records   new covid  cases in  hrs highest in a single day,3
1,i used hand sanitizer before it was everyone is bestfriend if i run out it will be my absolute worst nightmare,1
1,ebola  corona joined to hit the world …,2
2,respected sir your are also the best warrior of the india without you not possible to us win the corona virus,2
3,respected sir i and my  other collegues are terminated from school without any prior notice during lockdown on  march  we all are facing financial problems and so much depressed regarding our livelihood please help us pic twitter ,3
0,fine people hoax lester holt hoax disabled reporter hoax s hole country hoax coronavirus non hoax hoax russia ukraine all taken out of context or made up,0
0,i ran out of my heart lasix insulin and thyroid meds on friday if coronavirus does not kill not having medicine will i do not a fucking reason to fight anymore,1
3,no supply of water in my area since last  days we are following govt orders by staying in our homes due to  but i would like to request govt to provide basic human needs which we deserve to live our lives with sanity …,3
2,in this lockdown period watching movies deeply got siddiki as witness in sarfarosh of and as pickpocket in munnabhai mbbs of great actor,3
2,did not study for my covid  test yet i still passed smilingfacewithsunglasses,3
0,this coronavirus has really brought out the pussy in people,0
3,tried calling amazon customer care but every time call gets disconnected or line is busy due to covid,3
0,bbc news coronavirus follow virus advice or tougher measures likely says pm you better lock down the country mr johnson too many idiots still out and about without any care with the advice,0
0,it has not escaped from my attention fed lowering interest to zero reeks of contrasting desesperation and will not put money on the hands of consumers,0
2,loved this video from twitter ,2
2,india raises ahead to hear us we r  highest in daily new ves cases and daily death only only to beat us  russia on daily new ve cases and just to beat us  brazil on daily new deaths achievement lockdown blues yet to manifest wait till next monday,2
1,if you all do not know what the federal reserve is look it up and watch to see if it is still there after the coronavirus scare is over,1
2,best wishes to your son on his birthday your father is on his service to nation enlightening masses on the threat of corona wish him many happy healthy years to come …,2
1, in stock eco solutions  particulate respirator mask wexhale valve  masks ad,2
0,eventually greta thunberg got mad and spread the virus,1
2,the new protection way for covid  no more mask let follow him  twitter ,2
0,we know all hell will break loose the minute the wifi goes out,0
3,i am feeling corona symptoms,1
1,gross incompetence columbia u doctor on federal response to coronavirus ‘gross amateur hour incompetence,0
2,mind and body practices focus on interactions among brain mind body  behavior is a mind  body practice to increase calmness physical relaxation enhancing well being join me  online meditation   ist  brazil for link contact     pic twitter ,2
1,think ive got the pissing coronavirus,0
1,good leaders dont cause panic even when there are reasons to panic what good has the run on goods done to fight corona virus,1
3,we are not in a state to criticise govt instead we should get unit and fight against this disease we are living in third world country we have to contribute in these tough times to the underprivileged people who need our help in a lockdown,3
1,increased at home coronavirus stress can lead to increased pet woes,1
1,fear and stress cause the body to go into fight or flight response wearing down your immune system focus on practices and behaviors which strengthen the mindbody spirit and,1
3,covid  third death in jammu and in last  toll  …,3
0,your boss ‘ man majid memon says tabligih markaz is innocent ur state is a covid hotspot now your greed for the chair will shut u up now,3
1,global warming march weather x corona virus class cancellation most insane collab of all time,0
1,director general of world health organization severely overstated the fatality rate of the coronavirus leading to overblown global panic via,1
3,are there any outbound vbm flights from mumbai to dubai my  year old father h l ajwani is stranded living completely alone due to lockdown please can you arrange to bring him to dubai ,3
0,ohio the state has  confirmed cases of coronavirus bowling alleys fitness centers gyms movie theaters public recreation centers trampoline parks and water parks are ordered to be shut,0
1,⁦⁩ in ⁦⁩ on managing now  planning preventative strategies for future crises nb written late feb  ⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩,2
0,but it is not called chinese virus it is called corona virus dip shit,0
3,a pregnant lady travel fr covid test till borivali w frm malad fr covid test n by d time she reached she was denied saying v are closed no hospital is admiting her without test centres are responding rip humanity,3
3,opening of schoos by july will be the worst discussion by govnt children are more vulnerable than adults to  so should be given the maximum safety an year of school lost can be recovered easily loss of a childs life cannot fight against this – at pradham grand,3
1,who tryna go with me on a   day cruise to the bahamas while ppl still scared of coronavirus,0
1,coronavirus be still and wait on the lord he will bring his way his truth and his life out of this,0
2,oh yes nationalism is on peak in europe these days i too agree however globalisation and nationalism do check each other over a period of time however current day us where the religious centres are open in such covid situation is of course not something to be proud about,0
1,have not been this nervous since they started human trials with the covid  vaccine …,2
0,if anybodys clueless it is you blaming the democrats for the effects on the stock market in the economy is totally lame his trade wars weakened the stock market earlier which is why it is suffering so bad now because of the coronavirus not the dems,1
3,when our honble hm is saying you learn to live with corona and even the citizen of india r also ready to learn then why this delhi up haryana border sealing issue still going on it is completely opposite what center is guiding,1
1,perhaps there is an exaggeration about the matter because the world will continue before the coronavirus and after that there is no reason to panic as long as god is present,1
1,coronavirus is not nearly as bad as the plague was and yet twitter is still going crazy i can only imagine what the tl would have been like back then absolute shambles,1
3,i feel pity on myself a sabji wala who use to deliver at home refused to deliver me vegetables and when asked i was answered aap chinese ho corona hoke nahi marna hume,3
1,if we r speaking on  the corona virus death rate is higher considering we do not have any cure for it and for flu we have treatment the new virus is more deadly think about that,1
2,this is a great example of hyperbolic discounting where most of the owners choose smaller immediate rewards rather than larger later rewards,0
0,california moving homeless to hotels in scramble to prevent coronavirus explosion on the streets,1
1,if players train with the fear of  in back of their mind how it that going to help,1
0,corona virus that shit is real,0
2,beauty of shangla swat kpk pakistan Pakistan click on this given link world,2
3,the order issued on domicile is totally unacceptable to jkap domicile order an ‘ill timed causal attempt by goi jkap ‘demands order be put in abeyance till covid pandemic is over “it is most unfortunate… …,3
2,you mean the gold cabin in the metro nope good old standard corona ridden cabin lol,2
0,im well educated and of course i cannot get corona virus from drinking my fav beer which are coronas but im a stay away from those until this whole thing blows over,1
1,i do not have the coronavirus sars cov  i have decided to self quarantine for the next  days i am doing this for my family myself and the community everyone should take this crisis seriously do not endanger the health of your family or anybody else god bless pic twitter ,1
3,day  of lockdown so this lockdown might extend till april  over here we never even half the  wey dey ground so oh and they are tryna extend it to  facewithtearsofjoy facewithtearsofjoy i was almost vexed sha but i remembered that vexing cannot do shii in this case,3
2,feeling happy that was for corona warriors,2
0,karl rove did they call president obama racist when he used phrase mers a no the was silent,0
2,my life sharks,2
0,haa kafi irritating wala joke corona jantacurfew lockdown twist with nizamuddin wala case,3
0,this is the lesson for humanity if nothing is done now the future releases of biological attacks will be  worse,3
1,coronavirus italians barred from austria to stop spread,1
0,you need not ask why has been trending for more than  yrs you just stood at a podium in the rose garden and blatantly lied about google developing a website that would screen people on whether or not they need a test for the google denies,0
1,new — trumps campaign staff were informed late tonight to work from home though this coming monday amid coronavirus concerns multiple sources tell me  the campaign is plans to conduct a deep cleaning of its massive virginia offices during that time,0
1,currently reading outwitting the devil by napoleon hill halfway through and it is absolutely astounding a great read especially in these corona virus times where people are consumed by fear the only thing we should be fearing is fear itself,1
2,come kwa baba dance cover video shot by wellbeingbill …,2
3,alphonso mangoes most savored seasonal fruit is on my table today  my heart goes to the farmers  supply chain who struggle to export their produce amid this lockdown brunt in india … during pic twitter comckrvcbkbhp,2
3,writing this from the sleepless nights helpless times break from the mediocre life we are all in this together staying home will help the situation be better – at vasant kunj enclave,2
2,sir excellent work to boost up the moral of corona warriors great work sir,2
2,hilarious good way to keep corona free …,2
2,see the affect of our foolishness we cannot compromise with the health of every indian religion is peace time choice but in pandemic situation only is only choice this foolishness act may teach us the lesson of the century  …,3
1,surreal but wonderful we should be thinking of our docs and nurses as our troops on the frontline of an impending war we owe it to them to do what we can to,1
1,did they forget we are still under attack by covid …,3
3,celebrated music composer of the duo sajid wajid passes away at  he was suffering from covid  my prayers and strength for the entire family may his soul rest in peace twitter ,3
1,kj apa is coronavirus conspiracy theory,0
1,the government must take over all the private hospitals  nursing homes for at least a year to control the menace of fleecing covid  patients  their families by them there is no other way as they are fleecing the patients with impunity without any shame or fear,3
0,shamefully tried to sneak in legislation in emergency bill no we need a clean bill for this crisis specifically  now my god you have lost all credibility to criticize after your continuous appalling behavior,0
1,armed forces have made available over   hospital beds and more than   doctors and support staff across the country to deal with the rising cases of coronavirus infection officials,1
3,Pakistan pakistan slow spreading and improving slightly contagion est   of pop infected peak daily deaths of   in  days danger of losing control proj death toll    in  days fouro’clock  ,3
0,the united states of america will hammer this piece of shit into the ground we will exterminate it prepare to be impressed,0
1,amidst the on going  crisis media is shifting the to a hindu muslim issue an organized media conspiracy against the is unacceptable during the medical emergency people deserve love and care not hatred and fear mongering,1
3,this time it is about indian economy after the  pandemic pls watch comment and share …,3
3,then let us lockdown all the public hospitals and tells the public to stay at home or either go to private hospitals the govt shall then not collect tax from the public when they are not able to provide health facilities  quality education ,3
1,each party is responsible for our poor health condition congress did nothing and bjp also did nothing else bjp boosted capitalism in this  situation out worst economical status is only due to capitalism our informal sector contributes most but targeted to be killed,3
0,boy that is sad i hate this virus,1
1,when fear drives us apart  ways to collaborate rather than compete and why it is important for your career,1
2,this lockdown can stop you from having restaurant style thai food at home try these pad that noodles with whatever you have in your kitchen recipe twitter ,2
0,dyk •frontline mds in communities acrosshave no means of ordering essential ppe bc cdn suppliers indefinitely out of stock—no govt assistance despite mds raising concerns •ph agencies directing cdns suspected of infection to hosp ers—puts vulnerable hosp pts at risk,3
1,social distancing in to fight against corona …,2
1,the only reason im scared of the coronavirus is bc a lot of things are closing bc of it and if my store decides to close then im literally going to have to move back home and everything i worked for will be gone,1
1,the government is a ebola made disease like coronavirus,0
0,omg the coronavirus must be serious then,1
2,everything has positive and negative tey to see the other side too imazine how many accident death prevents during lockdown how many families reunited how many learn new abt themselves and others nature get relief from pollution cleaning awareness increase and many more ,2
0,funny but false coronavirus disease begun in the year  that said china is to blame  should be held to account by the rest of the free world their “state media” covered this up until it was too late we need to cancel our entire   trillion debt to china  damages,0
1,is coronavirus biological warfare,0
3,clearly planned by  divert attention from as reported last night like riots plotted by during visit …,3
0,i am forever grateful to the coronavirus for shutting down my school,0
3,thanx a lots sir we need ur help in this difficult time to fight  u can check his own shop cctv all the time he open shop while we close other shop since this is slum area so it is get difficult for police n for us to control crowd,3
0,society man this corona virus thing you all better start self isolating and avoid other people if not necessary me an adjusted introvert pic twitter ,0
2,had partnered with and other learning creators on a new destination for at home learning and,2
0,what a lot of manufactured rubbish the vast majority of coronavirus deniers seem to be anti vaxxers greens and the batshit crazy left climate alarmists should be worried about the coronavirus as most do not look like they wash too often at all let alone hands,1
0,at least  states have postponed voting and more delays are possible as health officials warn that social distancing and other measures to contain the virus might be in place for weeks if not months,1
