Comment	label
The toothpaste is so used, the freckles don't worry, the spots on the face are completely wiped out. It is very practical	2
Zhang Yishan and Zhou Dongyu announced their love? Zhang Yishan showed his charm!	2
Mini Nte series exposures, Vassal 835 + 5.99 inch full-full 2. 0, released May 31?	2
The 49-year-old woman used white vinegar to wash her face, and insisted on using it twice. Her skin was tender and delicate, and her skin was 10 years younger.	2
Only found vivo phone hidden fingerprint function, enter a fingerprint, ten fingers simultaneously unlock!	2
Drop a little of it in the foot of the foot, and it can produce 30 years of dampness! The waist is also thin and the stomach is flat	0
Lumbar intervertebral disc herniation only needs a wormwood, with 7 days of the root of the root does not recur, cervical spondylosis also useful.	0
starting from july 1, shenzhen 's number three diesel truck, double-digit limit line, foreign truck full limits.	2
When Liu Huigang performed in Taipei, he fell on his knees and cried in the middle of the song, and the audience burst into tears.	0
Cough for a long time, cure a good one, do not eat any medicine!	2
Someone from the People's Hospital of Cengxi City jumped to his death.	2
Nazca's first response to breaking up with zhang han?	1
Lin renxin wang li-kun love exposure! to see a villa prematurely to make a wedding new house?	2
Transport ministry announced: in 2018, the ministry of transport will cancel the license plates of blue-carpeted trucks, and the trucks will not be afraid of handling them.	0
"Online crazy ""one cup of yoghurt equals two cokes""! Do you still dare to drink? For this small part also specially check, the result is actually like this!"	2
Fengcheng County Jiannan Street Jinzou community housing demolition, many people obstruct police officers to carry out official duties	2
The children who are growing up eat these six kinds of food, nourish their nutritious health, and increase their calcium intake.	0
Putting a basin of water in the room will improve the air quality.	0
Recently 50 Wuqiu Chelong has no fertility, Liu Shih-shih has divorced him!	2
"It suddenly dawned on ""Little Sparrow's Divorced"", and Huang Yingqing said it really wasn't Zhao Wei."	2
NASDAQ-backed first Encrypted Currency Exchange DX will be launched to welcome the service fee-free era	2
"Rural financial genius invited cctv financial: only this ""stock speculation"" welcomed 65 applauses"	0
The boy made a ring with a coin worth a hundred times. It's a beautiful job.	2
Papaya can breast, leeks can be strong, coke can kill sperm, well-known common sense, right?	2
Focusing on personal development, not dissolving, TFBOYS set up a personal studio.	2
Cui yongyuan is undaunted by Fan Bingbing's warning, because Fan Bingbing's remark provoked him.	2
Big news. Poseidon's gonna buy Chery.	2
The Case of Wang Baoqiang's Divorce and Matrrrhony's Right of Reputation is Finalized.	2
7 Great Addicts to Quit Smoking. There are signs of quitting smoking. You just don't know it yet.	2
The NCMS in 2017 will be wiped out at the end of the year. What should be done if not used up?	0
The new traffic regulations issued in 2017, add these 6 points, the second most owners do not know.	2
Always pay with Alipay and Microcredit, it is recommended to turn off this function to prevent your wallet from being stolen!	2
Add 1 to face water, can let skin whiten in January!	0
Andy Lau has been on the Spring Festival eve six times? It's not true. I was invited but because it couldn't go.	2
Bully! Ma rong again to the demons, Christmas break to Wang Baoqiang sent a green hat!	2
Its shares are up 575% in two months! Zhangjiagang shares trading is monitored by the Shenzhen Stock Exchange	2
Earth is a place where aliens imprison humans.	0
Online rumors of a man's throat cut in the middle of the night	2
UFO sightings: the largest number of UFO sightings in the UK and the US, with the lowest in China	0
The best time to buy the new stock is broken down, 10 out of 10, with a rate of up to 98%, and it will be a success.	0
You drink tea, you drink your cancer.	2
"The ""Da Vinci Sleep Method"" sleep for 2 hours only to be in the spirit hundred times?"	2
Angelababy is a surrogate baby, and the kids are freaking out.	2
cantonese women born in zhanjiang, guangdong	2
Where is the price of millions of millions of dollars from the family tradition?	0
"Half way out of the 33 billion price ""Cao"", Fan Bing Bing Li Chen's marriage is hopeless, Li Chen chicken?"	2
starting june 30, i 'll shut down another function of po ibao. i' m not convinced, i 'm not convinced.	2
"When the old man had a hard time raising his grandson, after his grandson was admitted to Fudan, the old man found his dead son ""resurrected."""	0
The aliens came to Earth.	0
When sleeping, the mobile phone on the head can cause cancer?	0
Don't worry if you're skinny, just boil these four things to drink and lose your swimming ring. Try it.	2
Aspirin, Aspirin, you can't eat these seven kinds of people!	2
Sweets has a little brother? Jia Li-li is planning a second child.	0
"""Automotive exhaust"" is responsible for smog?"	2
wife and wife fight in nanning new peace market	2
Li Yapeng came out of the shadow of Wang Fei's divorce from bald to handsome.	2
Scientists have developed bionic glasses, which can cure myopia permanently in just eight minutes.	2
"Baby pregnancy surrogacy? The goddess full blood returns to ""running,"" netizens to call people love!"	2
FAN Bing-bing is pregnant. She's wearing a tuxedo. She's got a big belly.	0
Trump acknowledged Jerusalem as the capital of Israel. A new wave of unrest is about to begin in the Middle East.	0
"Angelababy gets caught in a snatch-and-grab bag, and the acting ""explodes"", the real actor eats for the food."	0
The bride burned herself in a wedding dress on the wedding day!	0
"Nanjing property market to purchase ""upgrade"" on the first day of new restrictions on three areas restricted loans also ""upgraded."""	2
queues in xinjiang	2
The moment when the US bombed Hiroshima, Japan, during World War II.	2
New regulation Jan 15 implementation, drink driving record 12 points, 5 years cannot obtain driving licence again? Really?	2
If you eat these three kinds of food during pregnancy, you'll have a miscarriage. You're really wrong.	2
Drink blood sugar, drink vinegar and soften blood vessels? These words often hurt people, so hurry up and look at them.	2
China's coach says that China will bid to host the World Cup 2030, the sports sector has gone mad!	0
it 's hard for the four tigers to get a pay cut and join the rocket. it' s hard to not win the championship even after losing the championship next season will be even more terrifying	2
Doctor: You wear a mask to work every day. Is it because the cancer is contagious?	2
Guangzhou's second airport opens to the city, officials say.	0
There's no use in picking up the trash. This place is set up like the new one.	0
The hundred acre orchard was covered with snow, and the farmer's grandpa was happy to see it. Do you know what happened?	0
Surrounded by the exposes the excursion woman, the father of the father sand is the scum?	0
Who is susceptible to alzheimer's disease and how to prevent it?	2
Onion in red wine, anti-cancer aging, who use who knows	2
"Vegetables commonly eaten in Japan are one of the leading causes of gastric cancer in Japan, and there is clear scientific evidence of ""carcinogenic"""	2
Liu Tao really should not marry a rich man ah! Just for the husband pay back 4 billion million and 60 million!	2
men lose weight 38 pounds in 3 months, video recording of changes in stature	2
Don't drink any more of this. These four nourishing foods are for you.	2
"Chuzhou people wake up! ""Mechat cleaning zombie fans"" minutes to make you bankrupt!"	2
No cough, no cough medicine. That's one way to go.	0
Why did the big black-and-white Li Chen-Chen repeatedly propose to Bing Bing Bing Bing?	0
Japanese netizens: traveling frog will die on the way, more fearful is to be eaten!	2
Those who like to eat pig feet should be forwarded, learn this practice, to the waist protruding to the effect good to the point of explosion.	2
UFOs found in the countryside?	0
"Men in the wrong tent, ""unspeakable things"" to be beaten?"	2
Belly big as a pregnant? Only a clove of garlic, with a thin one, the bucket suddenly changed to a four-fold!	0
When the two liquids in the house combine, they die!	2
The bulb goes in the mouth and it's not coming out.	0
The net claims that there is a rumour of a group stealing children in Gu Cheng county!	2
Garlic with it to eat, prevent thrombosis, delay the aging, a lifetime of cancer!	2
After 40 years of service, how much pension will be increased in 2018?	2
"""Idiot""? The expert explained in detail the timidity of the son."	0
44-year-old CCTV one-sister Zhu Xun has a recent photo with her husband. She is suffering from cancer. She is no longer an adult.	2
"The ""SK-5"" virus is killing Xishuangbanna again? Rumors! Rumors! Rumors!"	2
Mechat chat history deleted how to retrieve? Can you check other people's micro messaging record?	0
5 Ufa food therapy, conditioning white hair and hair loss! After eating for a period of time, the energy is better!	0
Why Tsz Chuan Tsz: An act of whim?	2
Because eating the spermicidal food, causes the infertility, the net spreads those spermicidal food reliable what?	2
Look at the outcome of love marriage, how to go to old age together?	2
gurina 's first response to zhang han' s break-up	1
Is it not enough for a full-screen double-glass? Why is it that all of the Internet users are calling it ugly?	2
Liuzhou children's paradise in the parents died of fistfights? Liuzhou police have been disbarreled, do not re-forward!	2
"""Earthquake warning Shanxi"" Zheng Heavy Industry Zheng Heavy Industry Zheng Heavy Industry Zheng Sheng statement: all rumors are pure rumors"	2
"The third season of ""Real Men"" is guaranteed, and they're all there, in addition to the Easy Blues."	2
Go solo! TFBOYS set up a personal studio. Unbreakable.	2
Women exercise fitness easily become muscle women? Is that correct?	0
Someone from the People's Hospital of Cengxi City jumped to his death.	2
the doctor admonished: eating eggs like this will cause cancer! i do n't know many friends around me	0
Some time ago a woman jumped from a building in Chengdu, the man opposite to watch a man lost his footing and died, this woman gave him the economic compensation?	0
Yang Ying identified plastic surgeon's first response: nose, chin, jaw drop, and low, can not be detected with hyaluronic acid.	2
Ginger on the belly button, 3 days to treat constipation, 10 days to lose weight 15 jin, 18 days to thin out a small waist.	0
Lanzhou poverty-stricken students get a grant of 10, 000 students in the second group	2
"Angry Fan Bi Fan Yi Fan Yi Fan all over the entertainment circle Wang Si Contra, but expressed the power power: ""Divorce marry you"	2
Jackie talks about the $2 billion property distribution, half goes to the foundation, and says he's going to help the family name.	2
Altusawa so use, 10 rhinitis 9 good, 1 time effect, 7 days radical cure not relapse	2
foreign journalists take pictures of mountains in mountain scenery	0
Ofo has embezzled more than $10 billion in deposits from users, and has only 3.5 billion in deposits and 1.5 billion in outstanding deposits.	2
japan develops nanoscale capsules to cure cancer	0
Teach people how to make mosquito-repellent incense. The effect is very good. It is harmless to the body.	0
Zhang's illness 12 years, or the end of the year low-key exit from entertainment circle?	0
The internet reveals the derailment diliriba?! Infuriate the studio to respond robustly	2
"Li Chen is going to be sad! Bingbing ""bastard"" exposed, the father was exposed, but it was him!"	0
Is your skin coarse? Today we recommend a few pores for pores.	2
"""The Warden 2"" for 4 billion, Feng Xiaogang for the face, the Mermaid officials to send a blessing."	2
Poria and Codyl rice tea after boiling water, can exclude the body's hyacinth, three days effect seven days lean ten jin.	2
I'll teach you how to whiten your skin.	0
What does the stain on the bottom of the toothpaste represent?	2
Lin Xinyu spit on Huo's character on the program, revealing that he would speak ill of her husband behind his back.	2
Steroid strawberries can cause precocious puberty? Listen to what the experts say.	2
Wang Jian-lin: Only she is qualified to be Mrs. Wanda! But she did not think it was her	0
Cell phone battery power quickly? Quick change this small settings, the power can be used for a long time!	0
Jingpo Nunni cut off two years of love, the reason for the break-up as a riddle but Li Yu-chun fired!	2
Biu Yu Yang Liping is still thin, entertainment circle dieting the most ruthless actress, 27 years of daily eating boiled vegetables only	2
After the break-up between Guolinazha and Zhang Han is Wu Yiwu? netizen: Nadzhihua is afraid of no one to accompany her in the new year?	2
Today we know that eggs are more nutritious, and that they are not easy to eat and cause cancer.	2
While Zhang Jiaji is in trouble, she is still thinking about dating with his mistress, from beginning to end.	2
Pylori infection of Helicobacter pylori	2
"Aloe vera with ""it"", dispelling and whitening, a week of macaroni freckles, skin tender, white and smooth."	2
"""Kung Fu 2"" is about to begin filming, Ma Yun and Chow Sing Chi strong hand-in-hand, do you expect Uncle Tu back?"	0
Major Traffic Accidents Occur in Taihang Street, Shijiazhuang	1
This year the state will carry out two new projects in rural areas with a maximum subsidy of 180,000 yuan, nearly every household will have a share.	2
Yu Hua is getting hot again, and he sings this song after he remarried with Yoon. It's too realistic. It's too good.	0
This is outrageous! Just now, the South Korean bombshell!	2
Li dxiao: national capital black horse is expected to become the first in the country, the annual report increased 3546%	2
A boy from Wu san poisoned his grandma and grandpa	1
guangzhou 's hengda sign a first-year new player in the top half of the league to give thigh high to gao rattan	2
Children cold cough, steamed sugar garlic water drinking water 1 cough, 3 times phlegm, mother must see!	2
PFA class owners attention! The State Council has issued a regulation: in these eight circumstances can refuse to pay the property fees!	0
Distribution map of real-time infection of ransom virus: chinese, american, russian and russian	2
How to cash out the flower? How to carry out the present method?	2
Angelababy Poppin 'Poppin' Poppin 'Poppin' Poppin ', People Crack Feebles, TV Dramas And Fake Eats.	0
Saccharin and Pu'er tea are carcinogenic to the cancer? Wine can fight cancer? Experts scientifically understand food safety hotspot	2
Yichun 15-25 not to be tanned? Airplane to fly the white moth?	2
"""Strongest"" traffic regulation has come! ""Zero Tolerance"" for all kinds of traffic violations."	2
There are four teams in the top six teams to replace, lu can choose the shuai to announce next year can only be kept guard?	2
Often eat medlar can tonifying kidney, often eating these foods can also let your hair not fall off?	2
The price-to-value ratio is too high to refuse! After the offer is 150,000, you can win the four joint B-class cars.	0
Doctors forbid pregnant women can not eat for 24 hours, father-in-law secretly gave her chicken, the consequences big!	2
july 1, new rules on driving test implemented	0
Seven nutrients, the most livers.	2
Nasdaq will become a digital currency exchange; game company Ubisoft will move into the chain.	2
"Beijing ""Child Abuse Preschool"" Kindergarten Respond to Teacher's Underage Non-Qualifications: Student Teacher"	2
Dispelling dampness and defecate still lose weight, everyday adhere to do, thin and bellied, from now on farewell to the belly fat belly.	2
A man in Binzhou offers a $100 thank-you fee to lure a schoolboy.	2
Formaldehyde causes childhood leukemia. Today, elimination of formaldehyde	0
From zero income to the annual income of 300000, to enter the national grid will be ok!	2
A fire at the top of Shanghai's Beichen Fujin High Court? How come the fire engines on the scene are yellow?	2
xinjiang wars	0
"""10 years chicken head wins arsenic"" the rumor that the agricultural product rumor spread, what is the truth after all?"	2
Tiangong-1 went out of control and hit the earth? It doesn't exist!	2
There was a fight at Dahua Station, blood all over the place.	1
"Starting next year, the ""three direct links"" in the rural areas will be all households, and farmers will be ready to become rich!"	0
Well done! The U23 Continua Cup continues to empty, with action to protest the referee's injustices.	0
The lumbar intervertebral disc herniated finally met the opponent, the countryside roadside flower grass, deal with the waist dish has the skill!	2
It's very accurate to have a word on your hand that you have a word for a divorce.	2
How do you know exactly what the characteristics of a boy-born girl are?	2
God bless Zhao Benshan's daughter to lend $4.3 million to buy a Rolls-Royce.	2
Bitter melon is still in stir-fried eating? Do so do not stir-fried or boiled without a drop of oil, beauty face-saving blood sugar.	0
"Rumors of ""Landslide Collapses of JiangHuabei River from JiangHuabei to Shuikoukou New Highway"""	2
Jackie Chan Talk about illegitimate daughter: In fact, I am not well, punished enough, family property can be distributed to her.	2
You don't think you're good wine when you're drinking? Now the boobies are up.	2
July, Kunming to Dali will open 29 .5 trains a day, Kunming to Xi'an high-speed railway will also open.	2
My second child, male baby, to share my symptoms!	2
In the middle of the night, Liu Kaiwei had a dream. He called his son's name and quarreled with her, and she slipped down the stairs.	2
Net exposure Fai Fai Fai third child? Tse tse-feng resplendent reply!	0
Shanxi is divided into administrative districts, and Huairen, which is under the jurisdiction of the city of Shuozhou, is divided into Datong City and Wuzhai to be transferred to the city of Chouzhou.	2
Another old artist bites the dust? Lam Kit-ying reveals that he was sexually abused by Zeng Zhiwei	2
Brush every day, teeth do not have a calculus stone?	2
This kind of thing on pigs is more powerful in fighting the cancer than the caterpillar fungus, but a lot of people don't want to eat it.	2
wu forest, the thai king of the thai boxing champion who defeated the dragon, was punished by qiu jianlian and returned home in a heavy fist.	2
The garlic discerns the gutter oil completely is not reliable, learn these three, and ditch oil say good-bye!	2
"""Natural gas"" will be installed in the countryside. Subsidy policies will be a great benefit to the people."	2
Wulin, Sithizhai beat the dragon arrogance and arrogance Ko Jioliang violence, the whole scene of exasperation!	0
Recycling the rural land base has become a foregone conclusion, farmers can make up 380,000, every family has!	0
The smart meters themselves have a certain amount of power and are passed on to customers.	2
What! Starbucks's biggest scandal, and his coffee is carcinogenic?!	0
Barbecue, Coke, Coke. Bone cancer.	2
Tip of Weight Reduction: Use it to soak raisins, one spoonful per day, 10 pounds in 10 days, and it works better than diet pills.	0
How horrible the residual chlorine in the tap water. You'll see.	2
"""Earthquake warning Shanxi"" Zheng Heavy Industry Zheng Heavy Industry Zheng Heavy Industry Zheng Sheng statement: all rumors are pure rumors"	2
15 days in detention, 12 points deduction, 3000 yuan fine! Why do you buy second-hand cars like this?	2
"""Murder at the gate of Mudanjiang Second Yuan""? Rumour!"	2
Traffic police: Starting from May 1, the four vehicles will be strictly investigated and the maximum fine is 2, 000 points.	2
Yang's divorce? Liu Kaiwei's cheating?	2
In case of case number two, there are four fake monks who break into the house and steal their kidneys.	2
The new agricultural co-operatives canceled a number of reimbursements, such as the following cases, the disease will not be reported to you.	2
Can a small copper coin really buy a house?	0
Zhu Zuowen officially announced his exit from the music scene and sang the song while crying in Mandarin, for a man?	2
She was a former fish-fighting sister who was in dire straits after being ousted by Von Temo. Now she's picking up dung and chopping wood.	2
the camera records japan 's real terror and paranormal events. do n't read it too late	0
It turns out that big belly hates this kind of food. Every kitchen has it, and if you don't diet, you'll lose your belly.	2
Big Head Attack! Lippi says: China wants to bid for the World Cup 2030! Location in Jiangsu?	2
Man stabbed to death with $1, 000 in debt? Hani police: The truth is that the suspect chopped up a police officer with a knife	2
Internet Explosion Station Car Bombings in Longquan, Longquan, Chengdu, Guangdong: The scene of video in Suxi, Guangdong	2
Du Haitao loved Shen very much. She said that every time he saw her, she was his first love and said he wanted to be a father.	2
"Rural financial genius invited cctv financial: only this ""stock speculation"" welcomed 65 applauses"	0
How to unseal Mechat? Official micro-letter can retransmit small video to solve the crisis of title?	2
The gastrointestinal doctor confesses: eat more than 6 kinds of food! Don't only know bananas, honey	2
The revelations of Wang Kay's new love affair...	2
Huawei is in a position to sell well, and then the US let the big three to sell, and it was a wise choice to exit	2
Does the microwave oven heating food cause cancer?	2
The baby girl with the jade was born wonderful, the sand overgrown by the net friend diss.	2
Poop can reflect a big problem. This shit could be a precursor to cancer. Have you noticed?	2
Fantastic domestic 75-year-old master invents invisible cloaks, wears them instantly vanishes?	2
"Chow Sung Chi ""Kung Fu 2"" secretly filming, Wu Meng Da appeared on the set, Ma was also in the movie"	0
Guan Guan or Winter Winterchanging Most Winners! Introduce a few strong points to the Super Bowl Championship!	2
I personally test! Ginger and rice water washing, not only the white hair, but lost hair! Quick to look at it!	0
I can't eat the shrimp. I've been beaten with glue and glue.	2
Do you believe that there is a soul in the world? How do you explain a strange figure on the camera on a train?	2
China's best driver's license! All cars outside the train can drive, how many old drivers can get it out?	0
microletter suddenly announced that it was free of charge. netizen: it was not ma yueqing 's conscience that was discovered but ma yun' s credit.	2
The delivery boy is scolded not a person, live one-on-one!	0
Tie lei self-destructed own divorce experience, shocked the whole scene!	2
the net exposes the yunnan university medical school 's dining hall to sell dried egg egg yolks and egg yolks to serve as an eraser.	2
The Fire and Fly-up in Fushun Sandao Street was a rumor that the shop was on fire	2
A stop financing, close to collapse, B-station imminent.	2
The straw subsidy comes in 2018, 10,000 to 10 million yuan per subsidy.	2
luo zhixiang has been exposed to pay huge amounts of money to buy luxury houses as a wedding room, to be married on the day of his girlfriend 's birthday	0
208 catties to 98, one drink before bed, the belly's gone, it's no trouble to lose weight.	0
Son, Mama gave you a sister, with the symptoms, as you wanted.	2
Girlfriend drops 2 drops of essential oil in the navel every day, half month hind body has this kind of change!	0
Naza announced new love? This is the fate best arrangement, Zhang Han sends wishes!	2
94-year-old Yang Zhenning and the 40-year-old 1940-year-old Fan Jiaxiang recent photos, Weng Fan's dark skin, began to feel tired of Yang Zhenning	0
Weight loss, don't go on a diet. It'll make you lose weight and disappear.	2
Happy mobile phone after the after-sales do not accept, how to do?	2
This year the rural three subsidies will be distributed directly to every household, no village cadres matter!	2
Jessie J Precipitation Syndrome Break, Suspended Recording! Suspected to withdraw, Wang Summit to be King?	2
From The Yellow Emperor's Internal Medicine Classic, the waist dish is protruding, so it should be cured like this.	2
"""Network transmission"" seedless grape on contraceptives ""who injured"" follow-up report - Chenzhou and other grape sales encountered in the plight of the responsibility?"	2
Li Qin's new love affair has been exposed. She tweets that she is no longer single.	0
With vinegar bubble, eat a few petals every day, to prevent and treat diabetes benefits more!	2
"Eat more of this food during pregnancy, and your baby can become ""mascara""!"	2
"""Murder at the gate of Mudanjiang Second Yuan""? Rumour!"	2
The countryside likes to dye the hair plant! 1 earthmover to teach you how to get the white hair darkened in 5 minutes!	2
"A strange grass in the countryside, tastes very bad smell, but is loved by everyone, known as ""chicken dung""!"	2
Online exposure Lo Chi-cheung to buy a luxury home and get married to his girlfriend, Zhou Yang-ching responded with seven words	2
"Farmers pay attention to: next year to be licensed, salary ""monthly salary system"", someone will not be able to sit down"	2
Bai Baibo's Divorce Inside Story: Chen Fei-fan is Too Cowardly	2
From tomorrow all public bus stop front and rear 50 meters prohibition of social vehicle parked, including passengers to go, once the maximum penalty 1000, everyone pay attention to oh!	2
A new version of the Chinese currency, to see if it's true.	0
Garlic is hard to keep? I'll teach you a trick not to budge, not to rot, for as long as you want.	0
Forbes rich list: gates is the richest man in the world's richest man in 24 years	2
the net reveals that chen 's money is handled by his father. if the divorce is divorced, she fears that she will be out of the house.	2
The j-20 has just been deployed, and western media reports that china's six-generation fighters will use artificial intelligence and hypersonic speed.	2
Security guard - Emergency Notice! A screenshot of Mechat, enough to brush up your bank card! Tell your family right away	0
It's a fruit enzyme. It's very good. It's a good way to lose weight.	2
Attention: eating these dishes is equivalent to drinking oil. Experts never order these 6 courses!	0
Motorists pay attention! Since August, the driver's license has been issued to replace the new rules, driving license deduction has not been effective!	2
Mother-in-law wants you to have a baby boy. Some changes to help you fulfill your mother-in-law's dream.	2
Russian girl on the border between China and Russia, at night, says that China is good for money	2
Sabine burned, CCTV revoked a brother not to say, and may be suspended because of this!	2
"The fruit that Hangzhou people love so much is judged ""the dirtiest fruit"" for 3 years in a row! Do you still have to eat?"	2
Zhang Yan's 2-year-old daughter was abducted near Drunken.	2
Onion: A weak killer, spending less than six dollars, hard for two days, hard to eat	0
The kettle's broken. Don't drop it. That's the problem. Two minutes, easy fix.	0
Onion can not be eaten with this, serious can also cause blindness!	2
"Internet police disparaging the rumor mill to propagate the Baoding Bao Bo ""someone stealing children"" rumor!"	2
2018 Bao Chao Asia Link Forum concludes smoothly	2
Li Qin's first-hand man's face is all so cute.	2
What is a lumbar disc herniation? Many people suffer from the pain of this disease.	0
Li Xiaolu spent 1400W on the green hat for Jia Zhenliang.	2
Qiao Liang is related to the death of Qiaoqiang, manager angered rumour	2
Women's health care, diet large food dish, liposuction, oil, to help you lose weight easily	0
"Ham yoghurt with food carcinogenic? Run red light to avoid capture has ""the trick""? Ha ha!"	2
DARK TONG XINHUAN? Knife Chen Chan and Zhao Liying's sword-cut miraculous sign make the stars have nothing to live for	2
"I heard that ""As Yi Feng"" scheduled 12. 20 copies to be copied onto the screen?"	2
Rebooting the Ofo deal, or making final preparations for an IPO?	2
Traffic police check for DUIs, don't check taxis.	2
big story, yang mi 's marriage crisis, liu kai' s cheating	2
Boys and girls? Three places to look at is enough!	2
four students kill people in jialing district, nanchong, sichuan province	2
"Xu Zheng starts the film ""The Intricate"", the Iron Triangle will return to the motherland, one person has to lie again to prove Xu Zheng's IQ"	2
Bitter melon with it to eat, detoxify anti-aging, once a week, the face is more rosy!	2
the detoxification schedule of human organs.	0
Wang's daughter, Yao Ming's daughter? What's going on in the name of defending his daughter?	2
Sweet Attack, Kang Dong-won, HAN Hsiao-sung, American Trip	0
Toxic mushrooms are bright?	0
Yao was nearly beaten by his teammates in the locker room because he said so!	2
Li Yapeng's new girlfriend is a billionaire's daughter worth billions of dollars, Tse Tse-feng's six-word response is full of jealousy!	0
The gunman took the child hostage. The police responded with an emergency. A sniper shot the gangster with one shot.	2
The new regulations on rural housing planning and management in 2018 will be demolished in five categories of houses, such as non-conforming, old and old.	2
Chronic Pharyngitis in the Treatment of Chronic Yargypharyngeal Squamous Disease has been updated in 13 patients	2
